downloadFormats,downloads,lyrics,mainArtist,music,song,url,videoURI,visits
"WMV,MP4",869,Ogie Perera,Ogie Perera,Naveen Dilshan,Palamu Hamuweema - Ogie Perera,www.fmderana.lk/sinhala-music-videos/1706/palamu-hamuweema-ogie-perera,https://www.youtube.com/embed/dZdO2Hh6KX8?rel=0,2917
"HD,WMV,MP4",1387,Maxi Jayaweera,Gypsies with Maxi Jayaweera,Dushan Jayathilaka,BUONGIORNO - Gypsies with Maxi Jayaweera,www.fmderana.lk/sinhala-music-videos/1707/buongiorno-gypsies-with-maxi-jayaweera,https://www.youtube.com/embed/U8Vx7HhKQ4g?rel=0,5304
"WMV,MP4",767,Chandrasena Hettiarachchi,Chandrasena Hettiarachchi,Chandrasena Hettiarachchi,Poson Sadai - Chandrasena Hettiarachchi,www.fmderana.lk/sinhala-music-videos/1708/poson-sadai-chandrasena-hettiarachchi,https://www.youtube.com/embed/527ctdr6Obg?rel=0,3335
"WMV,MP4",1179,Chinthana Dharmadasa,Black,Black,Melo Rahak Nathi Sinduwa - Black,www.fmderana.lk/sinhala-music-videos/1710/melo-rahak-nathi-sinduwa-black,https://www.youtube.com/embed/1WW1lNGXxmU?rel=0,3783
,,,Russel Fernando,Prageeth Perera,Netha Ridum Dei - Russel Fernando,,,
"HD,WMV,MP4",6621,Shehan Galahitiyawa,Saranga Dissasekara  & Lahiru Perera,Dilshan Liyanapathirana,DERANA FAIR & LOVELY STARCITY PROMO SONG - Saranga Dissasekara  & Lahiru Perera,www.fmderana.lk/sinhala-music-videos/1711/derana-fair-amp-lovely-starcity-promo-song-saranga-dissasekara-amp-lahiru-perera,https://www.youtube.com/embed/SC3XyuKSkhk?rel=0,12810
"HD,WMV,MP4",1722,Dr Praneeth Abhayasundara,Dr. Chamila Nishanthi Edward,Nawarathna Gamage,Obado Reye Sora - Dr. Chamila Nishanthi Edward,www.fmderana.lk/sinhala-music-videos/1713/obado-reye-sora-dr-chamila-nishanthi-edward,https://www.youtube.com/embed/Z-kmFpdKNQ8?rel=0,4460
"HD,MP4",2015,Shehan Galahitiyawa,Bathiya N Santhush,Yasas Madagedara,Roo Sara (Official Lyric Video) - Bathiya N Santhush,www.fmderana.lk/sinhala-music-videos/1736/roo-sara-official-lyric-video-bathiya-n-santhush,https://www.youtube.com/embed/SEcvLP0haYQ?rel=0,11239
"HD,MP4",2894,Chandradasa Fernando,Gypsies,Dushan Jayathilaka,Eya Meya - Gypsies,www.fmderana.lk/sinhala-music-videos/1737/eya-meya-gypsies,https://www.youtube.com/embed/VhKULnACvBo?rel=0,11833
MP4,5111,Shehan Galahitiyawa,Ruwan Hettiarachchi & Shashika NIsansala,Nimesh Kulasinghe,Hamuwemu Aye Sansare Theme Song (Susumaka Welila) - Ruwan Hettiarachchi & Shashika NIsansala,www.fmderana.lk/sinhala-music-videos/1738/hamuwemu-aye-sansare-theme-song-susumaka-welila-ruwan-hettiarachchi-amp-shashika-nisansala,https://www.youtube.com/embed/AeKNvpGABQY?rel=0,46712
MP4,885,Dilan Gamage,Dream Star 8 Academy TOP 10,Amila Dilhan,Maage Nowana Premee -  Dream Star 8 Academy TOP 10,www.fmderana.lk/sinhala-music-videos/1739/maage-nowana-premee-dream-star-8-academy-top-10,https://www.youtube.com/embed/iUkbzYZ56uw?rel=0,6063
,0,Kelum Srimal,Chitral 'Chity' Somapala,Chitral 'Chity' Somapala,Sinha Lokaye Sinhaya - Chitral 'Chity' Somapala,www.fmderana.lk/sinhala-music-videos/1741/sinha-lokaye-sinhaya-chitral-chity-somapala,https://www.youtube.com/embed/i76BHF7_dr8?rel=0,4704
"HD,MP4",3310,Madhushani Sarukkali,Raween Kanishka,Aruna Gunawardana,Digasi - Raween Kanishka,www.fmderana.lk/sinhala-music-videos/1742/digasi-raween-kanishka,https://www.youtube.com/embed/pGSp5Zzu9LU?rel=0,15208
"HD,MP4",14942,Saman Edirimunee,Lavan Abhishek & Kamani Lasantika,Nimesh Kulasinghe,Hamuwuna (Sangeethe Teledrama Theme Song) - Lavan Abhishek & Kamani Lasantika,www.fmderana.lk/sinhala-music-videos/1743/hamuwuna-sangeethe-teledrama-theme-song-lavan-abhishekampkamani-lasantika,https://www.youtube.com/embed/6epelPolRic?rel=0,106614
"HD,MP4",2694,Shehan Galahitiyawa,Yashodha Priyadarshani,Udara Samaraweera,Tharuka Deneth Purama - Yashodha Priyadarshani,www.fmderana.lk/sinhala-music-videos/1744/tharuka-deneth-purama-yashodha-priyadarshani,https://www.youtube.com/embed/UqwXveSsotU?rel=0,12311
"HD,MP4",16757,Kelum Srimal,"Lavan Abhishek,Anura Priyakalum,Nilupul Bandara,Sachini Ranwaka",Nimesh Kulasinghe,"Asha Dahasak (Sangeethe Teledrama Song) - Lavan Abhishek,Anura Priyakalum,Nilupul Bandara,Sachini Ranwaka",www.fmderana.lk/sinhala-music-videos/1745/asha-dahasak-sangeethe-teledrama-song-lavan-abhishekanura-priyakalumnilupul-bandarasachini-ranwaka,https://www.youtube.com/embed/MoqZ1_tif1E?rel=0,111227
"HD,MP4",3215,Shehan Galahitiyawa,Bachi Susan,Chathurangana DE Silva,Ashawo - Bachi Susan,www.fmderana.lk/sinhala-music-videos/1746/ashawo-bachi-susan,https://www.youtube.com/embed/Y2E7D3k4r_c?rel=0,8684
,0,Sunil Dayananda Koonara,Harshana Dissanayake,Sunil Dayananda Koonara,Rathnapuren - Harshana Dissanayake,www.fmderana.lk/sinhala-music-videos/1747/rathnapuren-harshana-dissanayake,https://www.youtube.com/embed/0pQCxJeka88?rel=0,4769
"HD,MP4",664,Malini Jayaratne,Various Artist,Aruna Gunawardana,Kanduleli Matha Yali Godanegemu - Various Artist,www.fmderana.lk/sinhala-music-videos/1748/kanduleli-matha-yali-godanegemu-various-artist,https://www.youtube.com/embed/CCDVjXiyQmQ?rel=0,4486
"HD,WMV",828,Chaminda Rathnayake,Thanura Madugeeth & Himasha Manupriya,Suresh Maliyadde,Ira Wata - Thanura Madugeeth & Himasha Manupriya,www.fmderana.lk/sinhala-music-videos/1749/ira-wata-thanura-madugeeth-amp-himasha-manupriya,https://www.youtube.com/embed/MdBlas8hHUg?rel=0,5549
,0,Samanalee Fonseka,Silani Thumara Peiris,Indrachapa Liyanage,Mandharam Nuwara - Silani Thumara Peiris,www.fmderana.lk/sinhala-music-videos/1750/mandharam-nuwara-silani-thumara-peiris,https://www.youtube.com/embed/WxRAJLWEOYE?rel=0,2767
"HD,MP4",3672,Tharinda Kasun Jayawardana,Keshan Shashindra,Ranjith Premaweera,Sanda Manaliye - Deweni Inima Song - Keshan Shashindra,www.fmderana.lk/sinhala-music-videos/1751/sanda-manaliye-deweni-inima-song-keshan-shashindra,https://www.youtube.com/embed/pW34_65BVLg?rel=0,19939
"HD,MP4",991,Madusha Sri Sankalpa,Madusha Sri Sankalpa,Kasun Manula Wijayarathne,Hadakari - Madusha Sri Sankalpa,www.fmderana.lk/sinhala-music-videos/1752/hadakari-madusha-sri-sankalpa,https://www.youtube.com/embed/sirW5FxOShw?rel=0,3682
HD,790,Manuranga Wijesekara,Javeen Soysa,Javeen Soysa,Gini Gaththa Yaame - Javeen Soysa,www.fmderana.lk/sinhala-music-videos/1753/gini-gaththa-yaame-javeen-soysa,https://www.youtube.com/embed/f6_kNun6srw?rel=0,3983
"HD,MP4",8535,Shehan Galahitiyawa,"Anura Priyakalum,Nilupuli Bandara & Sithum Nimantha",Nimesh Kulasinghe,"Sarigama Ragathalayakata Deweni Inima | Sangeethe Crossover Song - Anura Priyakalum,Nilupuli Bandara & Sithum Nimantha",www.fmderana.lk/sinhala-music-videos/1754/sarigama-ragathalayakata-deweni-inima-sangeethe-crossover-song-anura-priyakalumnilupuli-bandara-amp-sithum-nimantha,https://www.youtube.com/embed/Uj7a7u5ljHU?rel=0,15189
"HD,MP4",6532,Shehan Galahitiyawa,Lavan Abhishek Naveen Dilshan Anura Priyakalum Nilupuli Bandara Sithum Nimantha Sachini Ranawaka,Nimesh Kulasinghe,Nethu Yuga Vihida Deweni Inima | Sangeethe Crossover Song - Lavan Abhishek Naveen Dilshan Anura Priyakalum Nilupuli Bandara Sithum Nimantha Sachini Ranawaka,www.fmderana.lk/sinhala-music-videos/1755/nethu-yuga-vihida-deweni-inima-sangeethe-crossover-song-lavan-abhishek-naveen-dilshan-anura-priyakalum-nilupuli-bandara-sithum-nimantha-sachini-ranawaka,https://www.youtube.com/embed/BUPB6MwUPWU?rel=0,27770
"HD,WMV,MP4",20435,Shehan Galahitiyawa,Raween Kanishka  Keshan Shashindra,Nimesh Kulasinghe,Me Gewana Aruma Diwiya -  Raween Kanishka  Keshan Shashindra,www.fmderana.lk/sinhala-music-videos/1715/me-gewana-aruma-diwiya-raween-kanishka-keshan-shashindra,https://www.youtube.com/embed/o_nDfoOizRQ?rel=0,50840
"HD,MP4",873,Chandradasa Ferenando,Dilesh Wellington,Lanthra Perera/ Dilesh Wellington,Machang - Dilesh Wellington,www.fmderana.lk/sinhala-music-videos/1714/machang-dilesh-wellington,https://www.youtube.com/embed/cVHrQOCoZHs?rel=0,3531
"HD,WMV,MP4",1833,K.C  Saranga,Harsha Danosh /Sandeep Jayalath,Nimesh Kulasinghe,Derana International Kite Festival 2018 Theme Song - Harsha Danosh /Sandeep Jayalath,www.fmderana.lk/sinhala-music-videos/1716/derana-international-kite-festival-2018-theme-song-harsha-danosh-sandeep-jayalath,https://www.youtube.com/embed/SECGSz8E51c?rel=0,7741
"WMV,MP4",926,Manjula Sandanayake,Ishani Sandanayake,Darshana Rajamanthri,Me Pem Sitha Pura - Ishani Sandanayake,www.fmderana.lk/sinhala-music-videos/1717/me-pem-sitha-pura-ishani-sandanayake,https://www.youtube.com/embed/12AU171rS6A?rel=0,2885
"WMV,MP4",3856,Sachith Ruvindu Bogoda,Mahesha Sandamali,Devinda Pathiraja,Thanivee - Mahesha Sandamali,www.fmderana.lk/sinhala-music-videos/1718/thanivee-mahesha-sandamali,https://www.youtube.com/embed/B0mmRzMDEcE?rel=0,8938
