artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
H.R.Jothipala,Golden Pop, G major ,,Sarath De Alwis,Harsha Jayamanne,මහද නමැති,684,Bandara Wijethunga
W.D.Amaradewa,,,,,,මහ වැස්සක,,
Somathilaka Jayamaha,Old Pops, D minor ,",|Dm | - | - |  - |
 | C | - | - |  - |
||Dm |F/G| F |C/Dm||,Dm                    G    Dm
මහ වරුසාවට පසුව නැගෙන සඳ
G              F      Dm
වෙනදාටත් වැඩියෙන් එළියයි
Gm           C7   F
නෝක්කාඩුවට පසුව ඔබේ වත
A             F      Dm
ඒ එළියට වැඩියෙන් එළියයි//,Am       Dm     Am       Dm
ඇලදොල පාමුල ගොළුවුන ගීයකි
F      C         F        Dm
අප හදවත් බැඳි සොදුරු සෙනේ
A        D       F       Gm
අද නොදකින ඔබ හෙට දකිනා තුරු
A              F      Dm
මඟ බලමින් මා සිත ලතැවේ,,Dm	   Gm     F 
ඔබ මට හමුවුන මල්බර මාවත
F     C        F      Dm
වෙනදාටත් වැඩියෙන් සුවදයි
A      D       F         Gm
විටකදි නැගුනත් සැක බිය ශෝකය
A                F      Dm
පිවිතුරු සෙනෙහස අද උතුරයි,,,|Dm | - | - |  - |
 | C | - | - |  - |
||Dm |F/G| F |C/Dm||,|Dm | - | - |G/Dm|
| G | - | F | Dm |
|Gm | - |C7 |  F |
| A | - | F | Dm |,|Am |Dm |Am |Dm |
| F | C | F |Dm |
| A | D | F |Gm |
| A | - | F |Dm |,",Rohana Weerasingha,Harsha Jayamanne,මහ වරුසාවට,662,Sunil Sarath Perera
Malkanthi Nandasiri,Old Pops, D minor ,",|Dm | - | - |Bb |
|Bb | - |Dm | C |
|Gm | F | C |Dm |,Dm   Bb
මහ සයුරේ.. දිය ගැඹරේ
F       Bb     C
බියකරු රෑ යාමේ..
C      Dm   C      Dm
පියාණනේ.. අප වෙනුවෙන්
F   Gm  F   C    Dm
ඔබ ජී..විත සටනේ,|Dm |Bb | F | - |
| F |Bb |Dm | - |
| F | - | - | - |
| F | - | C |Dm |,Dm      Bb       Dm        Bb
සංසිදී සෝ තැවුල් අළුයම් උදෙන්
Bb        Gm    C       Dm
සොම්නසේ සූරයා පායා වරෙන්..//
Dm      F   C      Dm
 සාගරයේ.. රජ දහනේ..
F       Bb   C     Dm
කිරුල අපේ.. පියාණනේ...,,Dm      Bb         Dm        Bb
මාරුතේ බෝ සැරෙන් ඉගිලී නොයන්
Bb      Gm        C       Dm
මාලුනේ දැල් වලින් ගැලවී නොයන්..//
Dm      F    C      Dm
 මූදු තෙරේ.. වැලි කතරේ..
F       Bb   C     Dm
ඔබේ නමින්.. මල් පිබිදේ...,,,|Dm | - | - |Bb |
|Bb | - |Dm | C |
|Gm | F | C |Dm |,|  + |Dm |Bb | - |
|  F |Bb | C | - |
|  C |Dm | C |Dm |
|F/Gm|F/C|Dm | - |,|Dm |Bb | F | - |
| F |Bb |Dm | - |
| F | - | - | - |
| F | - | C |Dm |,||Dm |Bb |Dm |Bb |
 |Bb |Gm | C |Dm ||
 |Dm | F | C |Dm |
 | F |Bb | C |Dm |,",Unknown,Harsha Jayamanne,මහ සයුරේ දිය,717,Unknown
Amara Ranathunga,"Classics,Duets", C major ,"C                            F  C
කන්ද උඩින් එන කිකිළිය ගෝමරියේ,|| C | - | - | - ||
|| C |Dm | C | - ||,C             Dm
මහ රෑ යාමේ මේ ඇල් හේනේ
Dm            Dm C   Am
තනියෙම සීපද කියනු අසා
Dm            Dm C   C
තනියෙම සීපද කියනු අසා
C       Am  C   C      Em
වෙහෙස දරාගෙන පාර අසාගෙන//
C      Dm      Dm C   Am
ආවෙමි අඳුරෙම ඔබව සොයා 
Dm             C
ආවෙමි අඳුරෙම ඔබව සොයා
C          Dm
සීපද රාවේ සවනත වැටිලා 
Dm            Dm C   Am
ඉන් මත් වීලද ඔබ ආවේ
Dm            Dm  C   C
ඉන් මත් වීලද ඔබ ආවේ
C       Am  C   C        Em
මහ රෑ තනියෙම මේ ලෙස එන්නට //
C      Dm         Dm  C   Am
හොඳ නෑ ඇයි එය නොසිතූවේ
Dm                 C
හොඳ නෑ ඇයි එය නොසිතූවේ,C
ඔබෙ සීපද මට හරි මිහිරියි 
C       G        C
මෝරන සෙනෙහස යයි ඉතිරී//
C                   Am
කියන්න සීපද රස කරලා
Dm          C
අහන්න ඒවා සැනසෙලා ...//
C              Dm
ඔබ කියනවනම් අසා සිටින්නම්
Dm             C
ඔබේ දෙපා මුල සැතපීලා,,C
අඳුරයි සුළඟයි අපව වටා 
C      G      C
තනි රකිනවා ආදරය සොයා ...//
C            Dm
දිවි ගංගාවේ ඔරුවයි හබලයි 
Dm             C
වාගේ නැළවෙමු සුවය පතා ...////,,,|| C | - | - | - ||
|| C |Dm | C | - ||,|| C | - | Dm | - |
 |Dm | - |Dm/C|Am |
 |Dm | - |Dm/C| C |
 | C |Am/C| C |Em |
 | C |Am/C| C |Em |
 | C |Dm |Dm/C|Am |
 |Dm | - |  C | - ||,|| C | - | - | - |
 | C | G | C | - ||
 | C | - | - |Am |
 |Dm | - | C | - |
 | C | - |Dm | - |
 |Dm | - | C | - |,|| C | - | - | - |
 | C | G | C | - ||
*| C | - |Dm | - |
 |Dm | - | C | - |*

Repeat * Till fade,",Dayarathna Ranatunga,Harsha Jayamanne,මහ රෑ යාමේ,"3,655",Mervin Senarathna
Sathish Perera,,,,,,මහ මුහුදු විමානේ,,
Sunil Edirisinghe,Classics, D major ,",| D | - |
 | C | - | D | - |
 | C | - | D | - |,D     A7       A       D
මගේ සෙනෙහස මෙතෙක් වේ යැයි
D
මනින්නට ඔබ උගෙන නැත තව
G           C     D
මගේ අවසන් සුසුම පමණද
G     D    C   A    D
අවැසි ඔබ හට මා දකින්නට//
D     A7       A       D
මගේ සෙනෙහස මෙතෙක් වේ යැයි
D
මනින්නට ඔබ උගෙන නැත තව,| D | - |
 | A | - | D | - |
 | C | - | D | - |,D    C               D
වසර ගණනක යොදුන් ගණනක
D     A             D
ගමන් මඟ අප ගෙවා ඇත්තෙමු
D             C
තරු වියන් යට කුසුම් පෙති මත
G          C    D
දෑත් පටලා ඇවිද ඇත්තෙමු

එහෙත් සුහදිනි
D     A7       A       D
මගේ සෙනෙහස මෙතෙක් වේ යැයි
D
මනින්නට ඔබ උගෙන නැත තව,,C                     F  G  C
මිලින කුසුමෙක මිලින සිහිනෙක

මගේ සිහියද සැඟව ගත් කල

සිතනු මැන ඔබ ඔබට අවනත

හදක් මිහිමත මෙතෙක් රැඳි වග

එහෙත් සුහදිනි
D     A7       A       D
මගේ සෙනෙහස මෙතෙක් වේ යැයි
D
මනින්නට ඔබ උගෙන නැත තව,,,| D | - |
 | C | - | D | - |
 | C | - | D | - |,| D |A7 | A | D |
 | D | - | - | - |
|| G | - | C | D |
 | G |D/C| A | D ||
 | D |A7 | A | D |
 | D | - | - | - |,| D | - |
 | A | - | D | - |
 | C | - | D | - |,| D | C | - | D |
 | D | A | - | D |
 | D | - | C | - |
 | G | - | C | D |
 | + | + | D |A7 |
 | A | D | - | - |
 | D | - |,",Rohana Weerasingha,Harsha Jayamanne,මගේ සෙනෙහස,695,Bandara Wijethunga
Nanda Malani,Classics, C major ,,Rohana Weerasingha,Harsha Jayamanne,මගේ සඳ ඔබ,667,Sunil Ariyarathna
Priya Sooriyasena,Old Pops,,,Priya Sooriyasena,Harsha Jayamanne,මාගේ සැමරුම්,731,Donald Ivon
Sanath Nandasiri,Inspirational, D major ,",| D | - | - | A |
| D | - | - | - |
| D | - | - | A |
| D | - | - | - |,D
මගේ රටට දළදා හිමි සෙවණයි
D      A      D       A
මගේ දැයට දළදා හිමි සරණයි
D       A               D
සැපතින් සපිරුණු නිවහල් දෙරණයි
D      E       A7      D
උපතින් මා හට මේ හැම උරුමයි//

VERSE 1
D            A
දළදා මැදුරේ රන්කොත මුදුනේ
A                D
මිණි කිරණින් මුළු රටම අවදි වේ//
D            A
දෙදහස් වසරක මහරු අතීතය
A             D
සීහ තේජසින් යළි පිබිදී එයි//
(| D | - | - |A/D|),VERSE 2
D                A
මෙතැනම වී දැය එක ලෙස බැඳුනේ
A               D
සිත් තුල බිය සංඛා දුරු කෙරුනේ//
D              A
සමිඳුන් සෙවනේ ජය දද බැඳුනා
A                D
ජය බෙර වැයුනා ජය ගී ගැයුනා//
(| D | - | - |A/D|),,,| D | - | - | A |
| D | - | - | - |
| D | - | - | A |
| D | - | - | - |,| D | - | - | - |
| D | A | D | A |
| D | A | - | D |
| D | E |A7 | D |

VERSE    
|| D | - | A | - |
 | A | - | D | - ||
|| D | - | A | - |
 | A | - | D | - ||
 |,|,",Sanath Nandasiri,Harsha Jayamanne,මගේ රටට,"1,001",Sunil Sarath Perera
Milton Mallawarachchi,Old Pops,,,Greshan Ananda,Harsha Jayamanne,මගේ පුංචි කුමාරි,940,Greshan Ananda
Amarasiri Peiris,Classics,,,Danister Perea,Harsha Jayamanne,මගේ පුංචි රෝස මලේ,"1,412",Dhammika Bandara
Edward Jayakody,Old Pops,,,Sunil Dharmasena,Harsha Jayamanne,මේ මල් යායේ,"2,006",Hemasiri Halpita
Edward Jayakody,Old Pops,,,Rohana Weerasingha,Harsha Jayamanne,මේ කොයි යාන්නේ,952,Unknown
H.R.Jothipala,"Classics,Golden Pop", G major ,,P.L.A.Somapala,Harsha Jayamanne,මේ ජීවනයේ,711,Karunarathna Abeysekara
Edward Jayakody,Old Pops,,,M.R.Chulasingha,Harsha Jayamanne,මේ ඉර හඳ යට,"1,182",Rambukkana Siddhartha Thero
