artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
,,,,,,,,
Chandralekha Perera,New Pop, F minor ,",||Fm | - | - | - ||
 |Fm | - | - | - |
|Fm/Eb|Eb|Fm | - | 
 |Fm | - | - | - |,Fm
කුසුමට ළංවී රොන් ගන්නා
Fm
බඹරුන් ඈතට ඉගිල ගියා 
Ab         Db        Cm 
මද සුළගේ ඔහෙ සැලෙනා
Eb             Fm
තනිවුන කුසුමකි මා ...//,|Fm |Eb |Bbm| Eb |
|Fm |Cm |Fm | Db | 
|Ab | - |Db |  - |
|Fm/Eb|Db/Fm|Fm|-|,Fm           Bbm
ඉගිලී යන්නට පියාපත් 
     Db      Fm
නැත මා හට ඔබ මෙන් ...//
     Ab     Bbm     Eb    Fm
හෙට ආයෙත් දිනයක ඔබ ඒවී
   Eb                Fm|Eb|Fm|-|
මා රිදවා සතුටු නොවෙන්,,Fm              Bbm
හෙට පායන හිරු කිරණින්
    Db     Fm
යළි මා විකසිත වේවී ...//
    Ab     Bbm    Eb     Fm
ඔබ ආයෙත් මා හමුවට ඒ නම්
    Eb           Fm|Eb|Fm|-|
යළි මා මුකුලිත වේවී,,,||Fm | - | - | - ||
 |Fm | - | - | - |
|Fm/Eb|Eb|Fm | - | 
 |Fm | - | - | - |,|Fm | - | - | - |
|Fm | - | - | - | 
|Ab | - |Db |Cm |
|Eb | - |Fm | - |,|Fm |Eb |Bbm| Eb |
|Fm |Cm |Fm | Db | 
|Ab | - |Db |  - |
|Fm/Eb|Db/Fm|Fm|-|,||Fm | - |Bbm| - |
 |Db | - |Fm | - || 
 |Ab |Bbm|Eb |Fm |
 |Eb | - |Fm |Eb |
 |,|,",Shirley Waijayantha,Harsha Jayamanne,කුසුමට ළංවී,"1,118",Shirley Waijayantha
Nanda Malani,Classics, C major ,,Stanley Pieris,Harsha Jayamanne,කුරුටු ගෑ ගී,"1,103",Sunil Ariyarathna
Kushani Sandarekha,"Current Songs,My Picks,Old Pops", A minor ,",|Am———- |G ———- |
|Dm———- |E ———- |
|E7———- |Am———- |,Am                             G
කුරුල්ලෝ නුඹේ තාලෙන් පියාඹන්න ආසයි
           Dm
පියාපත් කොහේ කොතැනින් 
               E7
කොහෙන්දෝ ගෙනෙන්නේ//
Am 
කියාපන් කුරුල්ලෝ,|Esus4| - |Dm | - |
|Esus4| - | - | - |
| Dm  | - | F |Am |,Am                  Dm         Am
නෙළුම් මල් නෙලාලා ගෙලේ මං පළන්දා 
Am                Dm        Am
කිණ්ණරාවි රූපෙන් බලන් ඉන්නවා දැං 
Am         G       Dm       Am
හීන් බණ්ඩි ගොයමේ ගිරා නිල්රටාවේ,,Am               Dm         Am
ඉහල ගම් දිහාවේ ඇඹූල් පේර මාදං 
Am                  Dm         Am
පොකුරු බරවෙලා දැං බලන් ඉන්නවාලු 
Am       G       Dm        Am
සිංදු ගීත වන්නම් ඔහේ කිය කියා යං,,,|Am———- |G ———- |
|Dm———- |E ———- |
|E7———- |Am———- |,||Am | - | - | - |
 |Am | - | G | - |
 | G | - |Dm | - |
 |Dm | - |E7 | - ||
 |Am | - | - | - |,|Esus4| - |Dm | - |
|Esus4| - | - | - |
| Dm  | - | F |Am |,||Am | - | - | - |
 |Dm | - |Am | - || 
 |Am | - | G | - |
 |Dm | - |Am | - |,",Ernest Zoysa,Harsha Jayamanne,කුරුල්ලෝ නුඹේ,"3,127",Ajantha Ranasinghe
T.M.Jayarathna,Old Pops,,,Clarence Wijewardena,Harsha Jayamanne,කුන්ද සමන්,726,Clarence Wijewardena
Sunil Edirisinghe,Movie Songs, C major ,",|| C | - | - | - |
 | F | C |Gm | C ||,C             Bb    C          F
කුඩා ගමේ මද්දහනේ අව් රස්නේ මෙමා
Bb                               C
හුරේ කඳු පෙතේ දඩ මං දිගේ ගියා මෙමා
C                        C    C7      F
එවන් ගමන් මා නම් ගියෙ සෙනෙහස ගැන සිතා
Gm         Bb   C     C
නුඹේ කරට රිදී පොටක් පළඳන්නයි සුබා,| C | - | - | - |
|C7 | C | F | - |
| C | - | - | - |,C    F              C         G      C
මගේ පැළට නුඹ කැන්දං පැමිණි දොහේ එදා
C    Bb    Dm    C     F          C
මල් ගෝමර පිපුණු ලමැද වසා ගනිං කියා
C              Fm            Db    Bbm
මගේ අතින් දුන් සළුවෙන් ලමැද වසා ගියා
Bbm  Db    C          C    Db     C
රිදී පොටක් කර ලන්නට වරම් නැතුව ගියා
C
වරම් නැතුව ගියා,,C               Bb    C          F
ආල වඩන අකුරු පහේ තේරවිල්ල සකී
Bb                                 C
රෑට නිදන තනි පැදුරේ නැති සිහිනෙකි සකී
C                            C7      F
ආලෙ බිඳුණු දා කුමකට කඳුළු හෙලනු සකී
Gm        Bb    C      C
ආල වඩන යන තේරුම බෝසත් කම සකී,,,|| C | - | - | - |
 | F | C |Gm | C ||,| C | - | - |Bb |
| C | - | F | - |
|Bb | - | - | - |
|Bb | - | C | - |
| C | - | - | - |
| C |C7 | F | - |
|Gm | - |Bb | C |
| C | - | - | - |,| C | - | - | - |
|C7 | C | F | - |
| C | - | - | - |,| C | F | - | C |
| C | G | C | - |
| C |Bb |Dm | C |
| F | - | C | - |
| C | - |Fm | - |
|Fm |Db |Bbm| - |
|Bbm|Db | C | - |
| C |Db | C | - |
| C | - | - | - |,",Victor Rathnayaka,Harsha Jayamanne,කුඩා ගමේ මද්දහනේ,"1,486",Dharmasiri Gamage
H.R.Jothipala,Movie Songs, C major ,,M.K.Roksami,Harsha Jayamanne,කොයි යන්නේ,347,Karunarathna Abeysekara
C.T.Fernando,"Golden Oldies,Request", G minor ,",| + | + |
| Gm |  - | - | - |
| Gm |  - |Gm |D7 |
|Gm/F|Eb/D|,Gm
කොවුලන්ගේ මිහිරි සංගීතේ
Gm                       D
වන රොදෙන් නැංවේ සැන්දෑවේ 
D                   Cm
කඳුරට නිල්වන් ගම්මානේ 
 Gm    D          Gm (Gm|Eb/D|)
දිලේ දිලේ සදා ලෝකේ
Gm
ගී රාවේ ගැමි දරුවන්ගේ
Gm                   D
ගම්මානේ අහසට නැංවේ
D                   Cm
දොලපාරේ සීහිල දිය දහරේ 
  Gm      D          Gm
හෙමින් හෙමින් ඇදී එන්නේ,Gm
සිහිනේ වගේ සේයා මැවේ  
Gm                           D
වෙල් යායේ විල් තීරෙ සැන්දෑවෙ මේ 
         Eb        Gm
සොබා දිලේ අහස නිලේ  
            D       (Gm/F/Eb/D)
නැලවෙන්නේ ඕළු විලේ,,|Gm | - | F | - |
|Eb | - |Gm | - |
|Bb | - | F | - |
|Eb | - |Gm | - |
|Gm | F |Gm | - |,Gm
මල මල සිඹ ඒ මල මල සිඹ ඒ ගුමු ගුමු නාදේ
Gm                       D7
මීමැස්සන් රොන් ගන්නා වෙලේ
   Cm               Gm
සමනල නඩය සුලලිත තාලේ
   Cm                   (Gm/F/Eb/D)
පිනවන්නේ හද මා මේ යාමේ,,,| + | + |
| Gm |  - | - | - |
| Gm |  - |Gm |D7 |
|Gm/F|Eb/D|,|Gm |  + |
|Gm | - | - |  - |
| D | - | - |  - |
|Cm |Gm | D |  - |
|Gm | - | + |Eb/D|
|Gm | - | - |  - |
|Gm | - | D |  - |
| D | - |Cm | Gm |
| D | - |Gm |  - |,|Gm | - | - |  - |
|Gm | - | D |  - |
|Eb | - |Gm |  - |
| D |Gm/F|Eb/D|,|Gm | - | F | - |
|Eb | - |Gm | - |
|Bb | - | F | - |
|Eb | - |Gm | - |
|Gm | F |Gm | - |,| + | + |
|Gm | - | - | - |
|Gm | - |D7 | - |
|Cm | - |Gm | - |
|Cm | - |Gm/F|Eb/D|,",M.K.Roksami,Harsha Jayamanne,කොවුලන්ගේ මිහිරි,832,Sarath Wimalaweera
H.R.Jothipala,"Classics,Golden Pop", A major ,,Mohommad Sali,Harsha Jayamanne,කොතැනක සිටියත්,972,Chithrananda Abeysekara
Somathilaka Jayamaha,Golden Pop, D major ,",|| D | A | D | - ||
 | D | A |D/A|A7/D|,D         D  /  G  D           A  /  D
කුසුම් පිපී තුරු මතේ සුවඳ හමයි දස අතේ//
G        D
කෝකිල කූජනය නැගේ 
D            A   A7        D
ලිය ගොමු අතරේ මධුර වසන්තේ
D         D  /  G  D           A  /  D
කුසුම් පිපී තුරු මතේ සුවඳ හමයි දස අතේ//,| G |  - | - | - |
|| D |  - | G | D ||
 |D/G|A7/D|,D                     A7        D
රේණු සැලේ වැලි තළේ පෙති ගිලිහී දිය වැළේ//
A           D
ගඟබඩ තුරු වදුල තුලේ
D              A          D
කුරුළු ගී ඇසේ මධුර වසන්තේ,,D                  A7          D
ගම්මානය කෙළවරේ පන්සල් බිම බෝ රුකේ//
A           D
සිළි සළි ගා කොල නැටවේ
D             A          D
සම්බුදු මිහිරේ මධුර වසන්තේ,,D                      A7         D
අඹ මල් පොකුරට වෙලා ලේනෙකු ටිං ටිං කියා//
A          D
මධු රස ගී ගය ගයා
D              A          D
අම රස වින්දේ  මධුර වසන්තේ,,,|| D | A | D | - ||
 | D | A |D/A|A7/D|,|| D |D/G| D |A/D||
 | G | D | - | A |
 |A7 | D |
|| D |D/G| D |A/D||,| G | - | - | - |
|| D | - | G | D ||
 |D/G|A7/D|,|| D | - |A7 | - ||
 | A | D | - | - |
 | A | D |,",George Palliawaththa,Harsha Jayamanne,කුසුම් පිපී තුරු මතේ,716,George Palliawaththa
,,,,,,,,
Karunaratna Divulgane,New Pop, G Major ,",| G | - |Am | - |
|D7 | - | G | - |
| C | E | F |Dm |
| G |D7 | G | - |,G
කොණ්ඩ කිරිල්ලියේ 
 G           G7      C
කවුද නුඹේ ප්‍රේමවන්තයා
            Am                 F
කොණ්ඩෙ කපනවාද කොණ්ඩෙ බඳිනවාද 
          Am        D7       G
කොණ්ඩෙ කපනවාද බඳිනවාද කියාපන් එයා,G                                 Am 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා
 D7                              G    D7   G                 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා
| G | - | G | - |
G                                     Am 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා
D7                           G    D7   G
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා,,G                                 Am 
ඔන්න කියන්නෙපා කිරිල්ලියේ නොකිව්වාය කියා
 D7                           G    D7   G
ඔය ලෙන්ගතුකම් බෑ දෑවැදි ඉල්ලුවොතින් එයා
| G | - | G | - |
G                                     Am 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා
D7                           G    D7   G
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා,,,| G | - |Am | - |
|D7 | - | G | - |
| C | E | F |Dm |
| G |D7 | G | - |,| G | - | - |G7 |
| C | - |Am | - |
| F | - |Am |D7 |
| G | - |,| G | - | - |Am |
|D7 | - |G/D7| G|
|,|
| G | - | - |Am |
|D7 | - |G/D7| G|,",Rohana Weerasingha,Harsha Jayamanne,කොණ්ඩ කිරිල්ලියේ,"1,308",Rathna Sri Wijesinge
W.D.Amaradewa,,,,,,කොළොම් තොට,,
Clarence Wijewardena,Old Pops, D major ,,Clarence Wijewardena,Harsha Jayamanne,දිලීප පොඩි පුතූ,"5,224",Karunarathna Abeysekara
Victor Rathnayaka,"Golden Oldies,Inspirational", D minor,",||Dm | - |Dm | - |
 | C | - |Dm | - ||,Dm      G        C        Dm
දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ
C         Dm 
මා සිටියානම් 
C      G      D     C 
සමිදුනි ඔබ පිළිසරණ පතා
C        G     C      Dm 
මම‍ එමි බවදුරු කතර ගෙවා,|Dm | - |
 | G |Dm  | G | F |
 | C |C/Dm|Dm | - |,Dm              C        Dm
සහසක් දොම්නස් දුක් ගිනි අතරේ 
Dm      C
දැවෙන මහද සිතිවිලි ගිණි අදුරේ
D             G       D
සමිද ඔබේ පිළිරුව දුටු පමණින්
D           C      Dm
නිවී නිවී යන අරුමය කිමදෝ,Dm         C        Dm
ජීවමානවම හිමි දැක ගන්නට 
Dm       C
මා නෙත කල පින් මද බව වැටහිනි
D               G       D
එහෙයින් හිමි අනුරුව අභියස සිට
D                C      Dm
බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට,,||Dm | - |Dm | - |
 | C | - |Dm | - ||,|Dm | G | C |Dm |
 |Dm | - | C | - |
 |Dm | - | C | G |
 | D | C | C | G |
 | C |Dm |,|Dm | - |
 | G |Dm  | G | F |
 | C |C/Dm|Dm | - |,|Dm |  - | C |Dm |
 |Dm |  C | - | - |
 | D |  - | G | D |
 | D |  - | C |Dm |",Victor Rathnayaka,Harsha Jayamanne,දෙව්රම් වෙහෙරේ,"1,297",Premakeerthi De Alwis
Sunil Edirisinghe,Old Pops, F minor ,",|Fm | - |Fm | - |
||Fm | - |Fm |Bbm|
 |Eb7|Ab |Eb |Fm ||
 |Fm | - |Fm | - |,Fm            Db      Fm 
දෑවැදි දෙන්නට රන්මසු පොදි නැති
Bbm             Ab     Fm
ගෙදරට බර වුණු බාල නඟේ
Fm       Bbm    Eb     Ab
නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ
Fm        Eb        Db      Fm
රටෙත් කෙනෙක් නැහැ බාල නඟේ //,| + |Fm | + |Bbm|
|Ab |Fm |Ab |Fm |
|Fm | - |Fm | - |
|Ab |Eb |,Db          Fm 
විරසක වීලා විරහ අපලයෙන්
Eb               Fm
නුඹෙ ඉරණම නුඹ ළඟට නොයේ
Db     Ab    Eb 
නිදිබර දෑසයි දැලි ගෑ මුහුණයි
Fm     Db     Eb       Fm
ලිප මුල්ලේ යෞවනය ගෙවේ,,Db             Fm 
රන්දම් පැලඳිය යුතු ගෙල වටකර
Eb               Fm
නවගුණ වැල පෝ දිනට බැඳේ
Db     Ab    Eb 
දීගෙක ගියදා නුඹට දැනේවී
Fm    Db      Eb       Fm
තනිකඩකම කොච්චරද අගේ,,,|Fm | - |Fm | - |
||Fm | - |Fm |Bbm|
 |Eb7|Ab |Eb |Fm ||
 |Fm | - |Fm | - |,|Fm | - |Db |Fm |
|Bbm| - |Ab |Fm |
|Fm |Bbm|Eb |Ab |
|Fm |Eb |Db |Fm |,| + |Fm | + |Bbm|
|Ab |Fm |Ab |Fm |
|Fm | - |Fm | - |
|Ab |Eb |,|Db | - |Fm | - |
|Eb | - |Fm | - |
|Db |Ab |Eb | - | 
|Fm |Db |Eb |Fm |,",Rohana Weerasingha,Harsha Jayamanne,දෑවැදි දෙන්නට,772,Premakeerthi De Alwis
Clarence Wijewardena,Old Pops, F major ,,Clarence Wijewardena,Harsha Jayamanne,දේවතාවන්,708,Clarence Wijewardena
,,,,,,,,
Sunil Edirisinghe,Old Pops, Eb major ,",|Eb |Ab | - | - |
|Eb |Cm |Eb | - |
|Db |Ab |Eb | - |
|Eb |Db | - |Eb |
|Eb |Ab |Db |Eb |,Eb               Db
දෙවොලේ නොකැළැල් පිදු ආදර මල්
   Eb             Eb/Db    Eb
සුවඳින් මනකල් පිබිදෙමි හැමකල්//

INTER 				
||Eb | - | Db  |Eb |
 |Eb |Ab |Eb/Db|Eb ||
 |Eb |Ab | Eb  | - |
 |Eb |Db |Eb/Db|Eb |

VERSE 1
Eb              F         F/Eb 
මලෙකින් මලකට ඇදෙමින් නොඉඳුල්
Eb   Db/Eb      Eb/Db    Eb
නිගා දෙවයි පෙම් ලොවටම මිහිලුන්
Eb             F          F/Eb 
එක මලකින් පමණක් රොන් ගන්නම්
Eb       Db/Eb    Eb/Db  Eb
අන් මල් මත නොතබා උණු කඳුළැල්
|Eb |Db |Eb/Db|Eb |,VERSE 2
Eb              F       F/Eb 
පවසට ඵල නැත සයුරේ රළ වැල්
Eb      Db/Eb    Eb/Db    Eb
දිය දෝතක් ගමි දොලකින් සිහිලැල්
Eb         F       F/Eb 
පීඩිත වී සිටිනා සඳ අඳුරේ
Eb   Db/Eb       Eb/Db  Eb
ඔබ පමණයි ගෙන ආවේ හසරැල්
|Eb |Db |Eb/Db|Eb |,,,|Eb |Ab | - | - |
|Eb |Cm |Eb | - |
|Db |Ab |Eb | - |
|Eb |Db | - |Eb |
|Eb |Ab |Db |Eb |,||Eb | - | Db  | - |
 |Eb | - |Eb/Db|Eb ||

INTER 		
||Eb | - | Db  |Eb |
 |Eb |Ab |Eb/Db|Eb ||
 |Eb |Ab | Eb  | - |
 |Eb |Db |Eb/Db|Eb |

VERSE 
||Eb | - |  F  |F/Eb|
 |Eb |Db/Eb|Eb/Db|Eb||
 |,|,",H.M.Jayawardhana,Harsha Jayamanne,දෙවොලේ නොකැළැල්,"1,073",Sunil Ariyarathna
Sunil Edirisinghe,"Classics,Inspirational", D minor ,",||Dm | - | C | - |
 |Bb | - |Dm | - ||,Dm                 C
දෙවැනි බුදුන් ලෙස ලොවම උවම් කල
 Gm                      Dm
ලොවක පිදුම් ලද ලොවට උතුම් ලඳ
   Gm   Dm  F  C    Dm
අම්මා... අම්මා...අම්මා,Dm             F      C
දෙසවන් සනහා මා නැලවූ ඔබ
Bb             C       Dm
මියුරු මියැසියේ අරුත කියා දුනි
Dm            Bb
ඒ මියැසිය අද මා ගයනා විට
C     Bb      Dm
මා සිපගන්නට ඔබ මා ලඟ නැත
   Gm   Dm  F  C    Dm
අම්මා... අම්මා...අම්මා,,Dm              F      C
ඇසට හඬන්නට කඳුලැලි දුන් ඔබ
Bb           C       Dm
ලතැවුල් දරනා දිරිය ලබා දුනි
Dm              Bb
ඒ දිරියෙන් ලොව ජය ලබනා විට
C     Bb      Dm
මා සිපගන්නට ඔබ මා ලඟ නැත
   Gm   Dm  F  C    Dm
අම්මා... අම්මා...අම්මා,,,||Dm | - | C | - |
 |Bb | - |Dm | - ||,|Dm | - | C | - |
|Gm | - | - |Dm |
|,|Gm | - |
|Dm | - | F | C |
|Dm | - |,|Dm | - | F | C |
|Bb | - | C |Dm |
|Dm | - |Bb | - |
| C |Bb |Dm | - |
|,|Gm | - |
|Dm | - | F | C |
|Dm | - |,",Rohana Weerasingha,Harsha Jayamanne,දෙවැනි බුදුන් ලෙස,"2,880",Sunil Ariyarathna
,,,,,,,,
Gunadasa Kapuge,Old Pops, F major ,,Gunadasa Kapuge,Harsha Jayamanne,දෙතොල නොකී,"1,201",Lushan Bulathsinhala
,,,,,,,,
Anil Bharathi,,,,,,දෑස විදාලා,,
Clarence Wijewardena,"Group Songs,Old Pops", D major ,,Clarence Wijewardena,Harsha Jayamanne,දෑස පියා ගත් කල,"3,212",Clarence Wijewardena
Gunadasa Kapuge,, C minor ,,Gunadasa Kapuge,Harsha Jayamanne,දෑස නිළුපුල්,"1,667",Piyananda Wijesundara
Punya Kathriarachchi,Duets, D major ,",| | D | - |Bm | A |
| A | - | G | - |
|Bm | A | D |Bm |
| D |Bm | D |Bm |
| D |,D                      A
දෙනුවර මින් පසු එක නුවරක් මෙනි
 A        G      D  A      D
ඔබෙ හදවත මහදෙහි සෙවණැල්ලකි 
Bm                A7       Em
යළි හෙට දිනයෙත් අපි හමු වන්නෙමු
 D      A7      D
අපි සක්විති රජ කිරුළු පැළැන්දෙමු//,|Bm | D | A |Bm |
|Bm |D/A| D |Em |
| D |Bm | D |Bm |
| D |,D                G      Em
ළිංතොට ගංතොට ආදි තැනේ යා
 D      A      A7       D 1st(|D|D|)
මල්මද බිසවුනි ඔබ හමු වූවා//
D7               G        D  A
සෙනෙහස් අරුණලු කිරණ ගෙනාවා
 A        A7       D
නොදනිමි ඔබ මගෙ හද වෙත ආවා,,D                  G      Em
දැහැනකි ඔබ මගෙ හදවත බන්ධන
 D         A        A7      D 1st(|D|D|)
සෙනෙහස මිතුරෙකි දුක් ගිනි සින්දන
D7              G        D  A
දිනයක් එළඹෙනු ඇත මන නන්දන 
A        A7      D
අසෙනිය මල් මත සිරිකත කැන්දන,,,| D | - |Bm | A |
| A | - | G | - |
|Bm | A | D |Bm |
| D |Bm | D |Bm |
| D |,| D | - | - | A |
 | A | G |D/A| D |
 |Bm | - |A7 |Em |
|| D | A7| D | - ||,|Bm | D | A |Bm |
|Bm |D/A| D |Em |
| D |Bm | D |Bm |
| D |,| D | - | G |Em |
 | D | A | A7| D |
 | D | - | D | - |
 | G |Em | D | A |
 | A7| D |D7 | - |
 | G |D/A| A |A7 |
 | D | - |,",Somathilaka Jayamaha,Harsha Jayamanne,දෙනුවර මින් පසු,"2,418",Somathilaka Jayamaha
Nanda Malani,"Classics,Movie Songs", C major ,,Victor Rathnayaka,Harsha Jayamanne,දෙනෝ දාහක්,"1,253",Kularathna Ariyawansa
Abhisheka Wimalaweera,,,,,,දෙකොපුල් කදුලින් තෙමා,,
T.M.Jayarathna,Old Pops,,,Clarence Wijewardena,Harsha Jayamanne,දෙගොඩ තලා,"1,245",Ajantha Ranasinghe
Abeywardhana Balasooriya,Old Pops,,,Sarath De Alwis,Harsha Jayamanne,දේදුනු රන් පැහැය,526,Upali Dhanawalawithana
Chandralekha Perera,Duets, Eb major ,",|Eb | - |
|Eb | - |Eb | - |
|Eb | - |Eb |Ab |
|Ab | - | - | - |
|Eb |Bb |Eb | - | 
|Ab |Eb |Bb |Eb |,Eb
දේදුනු පාටයි මුහුණ ඔබේ දිදුලන සමනළියේ
Eb
මුල් වර දුටු දින හිත ගත්තේ ඒකයි සමනළියේ
    Ab          Eb
අරුණෝදේ….සුව දේ….
Eb
මල් වල මී බිදු වෑ‍හෙන්නේ-ඔබටයි මල් කුමරෝ
Eb 
සීතල පිනි මත ඇවිදින්නේ-ඔබටයි රන් බඔරෝ
    Ab        Eb     Bb      Ab       Eb 
මේ යාමේ හමු වී එක් වීලා ළං වීලා සැනසී,|Eb | - | - | - |
|Cm | - | - | - | 
|Fm | - | - | - |
|Bb7| - |Eb | - |,Eb        Ab  Bb       Eb        |Ab|Bb|
වරළ ඔබේ ඇද හැලෙනා ඇල්ල වගේ
Eb        Ab  Bb       Eb        |Ab|Bb|
සුවද ඔබේ………… චන්දන අරණ වගේ
Ab            Gm             Ab               Eb
ආදර ලෝකෙට පායන සද ලෙස ඔබෙ වත දිළිසෙන්නේ
Ab            Gm             Ab           Eb
සාගර ජලයට වඩා වැඩියි මගේ ආදර ඔබට ප්‍රියේ
     Fm    Bb      Bb7
මගේ ආදර ඔබට ප්‍රියේ,,|Cm | - | - | - |
| F | - | - | - | 
|Ab | - |Bb | - |
|Cm | - | - | - |
|Cm | - | - | - |
| F | - | - | - | 
|Fm | - |Bb | - |
|Eb | - |Ab |Bb |,Eb        Ab  Bb       Eb        |Ab|Bb|
කීව කතා… ඔබ මා ගැන සිහි වෙනවා
Eb        Ab    Bb     Eb        |Ab|Bb|
සීන ලොවේ… මම අහසේ පියඔනවා
Ab             Gm               Ab               Eb
ඔය අත ගන්නට සෙනෙහස දෙන්නට මගෙ හිත ලතැවෙනවා
Ab             Gm             Ab            Eb
ඔබ සනසන්නට සුව කැන්දන්නට මා හනිකට එනවා
      Fm     Bb      Bb7
ළදුනේ මා හනිකට එනවා,,,|Eb | - |
|Eb | - |Eb | - |
|Eb | - |Eb |Ab |
|Ab | - | - | - |
|Eb |Bb |Eb | - | 
|Ab |Eb |Bb |Eb |,||Eb | - | - | - ||
 |Ab | - |Eb | - |
||Eb | - | - | - ||
 |Ab | - |Eb | - |
 |Eb | - | - | - |
 |Bb | - |Ab | - |
 |Eb | - |,|Eb | - |Cm | - |
 |Fm | - |Bb7|Eb |,||Eb |Ab/Bb|Eb |Ab/Bb||
||Ab | Gm  |Ab | Eb  ||
 |Fm/Bb|Bb7|,|Cm | - | F |  -  |
 |Ab |Bb | Cm|  -  |	
 |Cm | - | F |  -  |
 |Fm |Bb |Eb |Ab/Bb|,",Rookantha Gunathilaka,Harsha Jayamanne,දේදුනු පාටයි,991,Rookantha Gunathilaka
Sanath Nandasiri,Old Pops, C major ,",|Csus| - | - | - |
|  C | - |C# | C |
|Fsus| - | C | - |
| C# | - | C |C# |
| Eb | C | - |Eb |,C
දේදුන්නේ පාට පාටින් ආදරේ බැන්දු
C                 C#        C
සංසාරේ වන්දනාවේ ප්‍රේමයේ ළන්දු
C#                    Eb
සන්ධ්‍යාවේ නිම් වළල්ලේ මායාවේ දෑස දැල්වේ
Eb         C#                      Eb
කවුරුන්දෝ ඈ නොවේදෝ ඈ මගේ නේදෝ,C                  Eb
ගංගාවේ ගීතයක් වී ගිම්හානේ මේඝයක් වී 
C#                Bb           C
සන්තාපේ අංගනාවී ඈ මාගේ නේදෝ
C7        C#             Eb
තුන්කල් දකිනා ඇල්මෙන් රඳනා
Eb      Cm  C#        C
තන්හාවකින් ළං ළං වෙලා,,C                       Eb
රන් මෙවුලේ නෙත් රැඳේවි පා යුග්මේ නෙත් රැඳේවි
C#                  Bb           C
මල් යහනේ දේවතාවී ඈ මාගේ නේදෝ
C7       C#          Eb
දෑතේ පැටලී කාමී ඇඳුරේ
Eb     Cm  C#      C
කැන්දාගනී මෝහනය වී,,,|Csus| - | - | - |
|  C | - |C# | C |
|Fsus| - | C | - |
| C# | - | C |C# |
| Eb | C | - |Eb |,| C | - | - | - |
| C | - |C# | C |
|C# | - |Eb | - |
|Eb |C# | - |Eb |,| C | - |Eb | - |
|C# | - |Bb | C |
|C7 |C# | - |Eb |
|Eb |Cm |C# | C |,",Stanley Pieris,Harsha Jayamanne,දේදුන්නේ පාට පාටින්,"1,461",Praneeth Abayasundara
Mervin Perera,Old Pops, C major ,,Mervin Perera,Harsha Jayamanne,දෙදෙනා පෙරදා,"1,313",Premakeerthi De Alwis
Gunadasa Kapuge,,,,,,දවසක් පැල,,
T.M.Jayarathna,Old Pops,,,Clarence Wijewardena,Harsha Jayamanne,දෛවයේ සුළි සුළගේ,416,Hemasiri Halpita
,,,,,,,,
Milton Mallawarachchi,Old Pops,,",| + |
| A | - | - | - |
|A7 | - | D | - |  
| A | - | G | - |
| A |A7 | D | - |
| A | - | G | - |
| A |A7 | D |A7 |
INTER ENDS
| A |A7 | D | - |,D        D7   G			
දවසක් තියේවී වෙන් වුනු ඔබ මා 
D                 A
නැවතත් මුණ ගැසෙනා
D        D7    G                        
කඳුලක් තියෙවී මා ලඟ එදිනේ 
D      A       D
ඔබේ නමින් ගලනා,D       Bm     D      Bm      D         
නටුවෙන් කඩලා මල විසිකල විලසේ  
D       Bm        D      Bm      a         
වරදක් නැතත් මට ඔබ පිටු පෑ දවසේ
D        G     A       A7       D 
වල්මත් වුනා මා අසරණ පෙම් පියසේ
G                 D
මට තාම නොදැනේ මොනව වුනා දෝ
A       A7      D
අප දෙදෙනාට ප්‍රියේ,,D       Bm     D      Bm      D         
හිනැහෙනවා ඔබ මා හඬනා දවසේ
D       Bm     D       Bm      A         
නැලවෙනවා ඔබ ඔහු හා රස පහසේ
D        G    A      A7     D 
ඔබටත් ලබාවී දවසක් මට වාගේ
G                 D
මට තාම නොදැනේ මොනව වුනා දෝ
A       A7      D
අප දෙදෙනාට ප්‍රියේ,,,| + |
| A | - | - | - |
|A7 | - | D | - |  
| A | - | G | - |
| A |A7 | D | - |
| A | - | G | - |
| A |A7 | D |A7 |
INTER ENDS
| A |A7 | D | - |,| + | + |D7 | - |
| G | - | - | - |  
| D | - | - | - |
| A | - | - | - |
| D | - |D7 | - |
| G | - | - | - |
| D | - |A7 | - |
| D | - |,| D | - |Bm | - |
| D | - |Bm | - |
| D | - | - | - |
| D | - |Bm | - |
| D | - |Bm | - |
| A | - | - | - |
| D | - | G | - |
| A | - |A7 | - |
| D | - | - | - |
| G | - | - | - |
| D | - | - | - |
| A | - |A7 | - |
| D | - | - | - |,",Stanley Pieris,Harsha Jayamanne,දවසක් තියේවී,866,Ajantha Ranasinghe
